time,n_sat,x,y,z,dt_u,rms
2026-04-26T12:51:30,11,3512913.771565255,2069038.0914179864,4889004.645203407,2.2251593793703784e-07,46.88153040245601
2026-04-26T12:52:00,11,3512914.103552988,2069038.2663190386,4889006.757145687,2.266553385909612e-07,47.492889785025504
2026-04-26T12:52:30,11,3512913.2320295577,2069038.6472080736,4889008.308859599,2.2821001853563628e-07,47.65424469858517
2026-04-26T12:53:00,11,3512913.043423793,2069039.1613211774,4889010.714393061,2.3138979117629092e-07,48.07460699688889
2026-04-26T12:53:30,11,3512913.3545550103,2069038.924839938,4889012.6938751945,2.351424795446914e-07,48.26976383462785
2026-04-26T12:54:00,11,3512912.3744014986,2069039.3816037197,4889015.421522213,2.3751083676465574e-07,48.70350575401935
2026-04-26T12:54:30,11,3512913.076925676,2069040.2223852973,4889018.2187719755,2.4535952750085815e-07,49.009361612012064
2026-04-26T12:55:00,10,3512917.594487017,2069021.6306384415,4888930.80788662,8.386750381496349e-08,41.67099734101235
2026-04-26T12:55:30,10,3512916.8502931735,2069021.5843300293,4888931.836081279,8.448636559625227e-08,41.65823198715421
2026-04-26T12:56:00,10,3512916.746808165,2069021.7145937989,4888933.8050953215,8.839203800969594e-08,41.70804719012954
2026-04-26T12:56:30,10,3512916.299660992,2069021.1511513502,4888935.67912768,8.991498453677499e-08,42.06308263765588
2026-04-26T12:57:00,10,3512916.3750588973,2069022.0568847496,4888937.187989228,9.359355339218023e-08,42.31226922970872
2026-04-26T12:57:30,10,3512916.147025658,2069022.2794643366,4888939.465431953,9.621609119702147e-08,42.24552703880599
2026-04-26T12:58:00,10,3512916.470213574,2069021.4084484116,4888940.880496227,9.828253156458272e-08,42.49150157681307
2026-04-26T12:58:30,10,3512916.134810177,2069021.7917382966,4888941.813730494,9.938593528166263e-08,43.121293856972365
2026-04-26T12:59:00,10,3512916.230363469,2069022.1317334082,4888944.563755684,1.043156039268935e-07,43.27973964568642
2026-04-26T12:59:30,10,3512915.7022107006,2069022.5966985596,4888947.669095095,1.0908385345643413e-07,43.468819619098824
2026-04-26T13:00:00,10,3512916.2391197197,2069022.5547650277,4888950.081367102,1.1399262691241126e-07,43.397667936018955
2026-04-26T13:00:30,10,3512915.5440093814,2069022.5281543003,4888952.119804587,1.1681403040737379e-07,44.03173359511706
2026-04-26T13:01:00,10,3512916.2907056296,2069022.5257298832,4888955.3849961655,1.230625881297936e-07,44.209875692802306
2026-04-26T13:01:30,9,3512912.7444018717,2069023.1791283817,4888944.191903346,9.918404493222691e-08,46.869386576204725
2026-04-26T13:02:00,9,3512911.8315415042,2069023.42536734,4888944.823844399,9.838791517098157e-08,47.09188020149211
2026-04-26T13:02:30,9,3512911.517326253,2069023.6255006518,4888945.375954287,9.902692840525853e-08,46.8232966435426
2026-04-26T13:03:00,9,3512910.8332490646,2069023.4918974813,4888945.047309298,9.611214733145757e-08,47.51003160411685
2026-04-26T13:03:30,9,3512910.264728438,2069023.6247169368,4888946.546728874,9.811262633141949e-08,47.45313466474256
2026-04-26T13:04:00,9,3512909.6464578137,2069024.7966309187,4888948.268100056,1.012209907714967e-07,47.79142141835505
2026-04-26T13:04:30,9,3512909.470358075,2069024.529765785,4888949.02649622,1.0110002664242509e-07,48.20431686306061
2026-04-26T13:05:00,9,3512908.696025462,2069025.0336164604,4888948.947542292,9.997481915050313e-08,48.14629742138772
2026-04-26T13:05:30,9,3512908.3378403084,2069025.3220475577,4888949.941137428,1.0055247346215668e-07,48.349278780071295
2026-04-26T13:06:00,9,3512907.5759249805,2069025.991427052,4888950.677840442,1.0112500862800605e-07,48.47302862836407
2026-04-26T13:06:30,9,3512907.1994959926,2069025.8858471136,4888951.771497404,1.0150610062523944e-07,48.65481271196197
2026-04-26T13:07:00,9,3512906.7315369137,2069025.6179654035,4888951.952917169,1.0126786183602112e-07,48.86375203765527
2026-04-26T13:07:30,10,3512903.4493348505,2069023.6144457771,4888949.989750233,9.082449109452789e-08,46.81367540559709
2026-04-26T13:08:00,10,3512903.4410472186,2069023.3690091171,4888951.422367422,9.327724247131587e-08,47.06809404393883
2026-04-26T13:08:30,10,3512902.6256418754,2069024.228796739,4888952.402014733,9.372246362571303e-08,47.17856795727713
2026-04-26T13:09:00,10,3512902.2351593957,2069023.9640679103,4888954.096824157,9.55722927862712e-08,47.42263233566881
2026-04-26T13:09:30,10,3512901.8218652797,2069024.2451185642,4888954.336730095,9.542567411029815e-08,47.507254803626566
2026-04-26T13:10:00,10,3512900.9735738174,2069024.817237827,4888954.832577484,9.470771210475357e-08,48.11686322214595
2026-04-26T13:10:30,10,3512900.766935336,2069024.896085986,4888955.563975,9.530840089305747e-08,48.151162173169446
2026-04-26T13:11:00,10,3512900.2357322974,2069024.6606243313,4888955.878291501,9.486559233240645e-08,48.356358529778504
2026-04-26T13:11:30,10,3512899.6466159546,2069024.960252371,4888956.199179779,9.475617213629866e-08,48.38878940780648
2026-04-26T13:12:00,10,3512899.078013935,2069025.42003307,4888958.253208219,9.709277728801548e-08,48.52387790265206
2026-04-26T13:12:30,10,3512898.3307990762,2069025.6071636989,4888958.402305776,9.661821557169972e-08,48.87495687235146
2026-04-26T13:13:00,10,3512897.8622477627,2069025.9437418375,4888960.262605096,9.821677101466192e-08,48.81974791576851
2026-04-26T13:13:30,10,3512897.3227196345,2069026.0764201332,4888961.0087877335,9.882094778110558e-08,49.054200357704005
2026-04-26T13:14:00,10,3512896.753516358,2069026.373010343,4888961.429065316,9.86084231265287e-08,49.3858792812456
2026-04-26T13:14:30,10,3512896.7198660197,2069026.621828267,4888962.927570738,1.0026628314811705e-07,49.78266387067295
