t,prn,x,y,z,vx,vy,vz,clock
118800.0,31,24429305.370545518,-10109555.927557759,3613309.556014791,549.0676724248129,120.3804059801846,-3097.809596800827,-0.0001528290329350793
119400.0,31,24693276.050259586,-10021486.480403388,1743228.8028820052,331.3984082251561,176.3337513713534,-3131.507059231789,-0.0001528265823790337
120000.0,31,24827863.987214174,-9894532.244820893,-139986.18919125517,118.2829024493833,249.85468765168207,-3141.5716724954777,-0.00015282397142905673
120600.0,31,24836605.333459526,-9718407.41236449,-2022155.0648559313,-87.62016129462097,340.04063324828826,-3128.0396289135574,-0.00015282120931342467
121200.0,31,24724589.33186542,-9483463.294151725,-3889169.401986997,-283.8012535499263,445.6745456863134,-3091.113713762894,-0.0001528183063305558
121800.0,31,24498357.154072348,-9180870.723565344,-5727091.569692629,-467.9382333531945,565.2466047902619,-3031.158958701995,-0.00015281527376707652
122400.0,31,24165778.771655932,-8802788.07466456,-7522250.739063729,-637.9311443277608,696.9803404927695,-2948.6975661621345,-0.00015281212381098504
123000.0,31,23735910.06690948,-8342512.369278915,-9261335.628614161,-791.933126897405,838.8627294008638,-2844.4031978681373,-0.00015280886946055934
123600.0,31,23218832.63866116,-7794611.244588082,-10931483.620697526,-928.377067230915,988.6777469371757,-2719.094709463487,-0.0001528055244296168
124200.0,31,22625478.967036005,-7155033.871803393,-12520365.932884745,-1045.9976700217135,1144.0428326050694,-2573.729401091234,-0.00015280210304969189
124800.0,31,21967445.769097965,-6421199.250580966,-14016268.568791155,-1143.8487082519534,1302.447704033918,-2409.3958411706344,-0.00015279862016965955
125400.0,31,21256798.505327098,-5592060.648641226,-15408168.805846319,-1221.315268188469,1461.2949402447189,-2227.3063079193357,-0.0001527950910532954
126000.0,31,20505870.085646786,-4668145.307833534,-16685807.002930023,-1278.120871691428,1617.9417453680837,-2028.7888807762808,-0.00015279153127523146
126600.0,31,19727056.874144394,-3651568.893039207,-17839753.52881106,-1314.329420324832,1769.7423002412072,-1815.2792021186863,-0.00015278795661573897
127200.0,31,18932615.104736086,-2546024.5157220764,-18861470.62326844,-1330.3419667027927,1914.0901103921096,-1588.3119188431758,-0.00015278438295474947
